TokenID,Title,Message,MintDate
1,0.xenmap,"Welcome to xenmaps.io! This testnet is to test minting, inscribing upon, and searching for XENMAPS! ",1701328187
5,1501.xenmap,TreeCityWes owns 1501.bitmap too!,1701331888
6,hashhead.xenmap,HashHeads rule the blockchain!,1701332070
11,1729.xenmap,Ramanujan s taxicab number,1701333470
12,13.xenmap,Hello Tom,1701333479
13,1313.xenmap,X1,1701333536
18,21.xenmap,TOM TOM,1701333622
20,99.xenmap,boom,1701336627
21,1976.xenmap,"Xen is a lifestyle, do you Xen everyday?",1701336810
22,369.xenmap,Merry Christmas Xeniians,1701336810
26,76.xenmap,FUCK THE FUDDERS,1701337730
27,7.xenmap,OKX SUCKS COCK,1701337764
37,2.xenmap,Fuck OKX X1 belongs to XEN,1701343527
38,69.xenmap,nice,1701346340
39,shieldy.xenmap,Blue pill or red pill or both,1701346519
40,x1.xenmap,xone,1701346568
57,baby.xenmap,I cant help where I pee,1701351419
58,50.xenmap,happy days,1701353341
70,6969.xenmap,MXEN MINTERS ARE GOATED,1701354370
71,10086.xenmap,Technology changes lives,1701355285
72,77.xenmap,PULSE INU $PINU ON PULSECHAIN !!!,1701356733
86,333.xenmap,Easy left me long time ago,1701357171
90,222.xenmap,"The direction of the eye, so misleading, the deflection of the soul, nauseously quick",1701357382
94,444.xenmap,I can only be as good as you let me,1701357532
95,10010.xenmap,FUCK OKX,1701357578
96,111.xenmap,I changed by not changing at all,1701357638
97,555.xenmap,"He still gives his love, he just gives it away, the love he receives is the love that he saved ",1701357794
98,666.xenmap,canfvas,1701357934
99,42.xenmap,What s the meaning of all this!,1701359847
100,bitmap.xenmap,Am I a Bitmap on a Xenmap? ,1701360372
102,10.xenmap,#NOTOK OKX TRUR CRYPTO IS HERE TO STAY! :),1701361973
103,999.xenmap,"He won the lottery when he was born, took his mothers white breast to his tongue",1701362096
104,88.xenmap,"Gotta say it now, better loud, than too late ",1701362918
105,mine.xenmap,mineshaft 50°46 53.75 N 16°13 37.68 E,1701363153
106,blacka.xenmap, 50°47 27.96 N 16°15 18.19 E,1701363523
107,Rickaz23.xenmap,#X1 will always be #XEN,1701363739
108,hashheads.xenmap,LFH!!,1701363803
112,3.xenmap,GO FUCK YOURSELF!,1701369883
113,4.xenmap,Monolith,1701369883
124,xentp.xenmap,dat xen dank ,1701379118
134,79.xenmap,XENERGY NFT,1701383007
136,114.xenmap,XENERGY NFT,1701383108
137,115.xenmap,XENFLIX TV,1701383152
138,187.xenmap,XENERGY NFT LAUNCH TODAY,1701383207
139,123.xenmap,JACK LEGEND,1701383361
140,911.xenmap,INSIDE JOB,1701383402
141,06.xenmap,NAKAMOTO CRYPTO IS A REAL XEN OG,1701383950
142,069.xenmap,FRANKFURT CITY XEN,1701383970
143,030.xenmap,BERLIN CITY XEN,1701384092
145,303.xenmap,ERROR: xen tzu you got me pregnant,1701384242
146,xenergy.xenmap,"THE WORLD IS YOURS CHICO, XENERGY!",1701384847
147,xenflix.xenmap,"xenflix is free, forever.",1701384941
148,habibi.xenmap,XEN ARAB MONEY,1701385295
150,2pac.xenmap,PAC IS IN CUBA,1701385404
152,tesla.xenmap,my cybertruck is more expensive now...elon....y? ,1701385531
154,jake.xenmap,JAKE THE SNAKE,1701385699
155,xentzu.xenmap,is my sidechick,1701385748
156,okx.xenmap,"OKX LOVES THE XEN COMMUNITY, SORRY THAT WE STOLE YOUR NAME JACK. WE LOVE ALL YOUR IDEAS. PLEASE FORGIVE US, JACK!",1701385856
157,xgon.xenmap,"WELCOME TO XGON CHAIN, UHH, WE MEAN; X1.",1701386067
158,XONE.xenmap,anoushi minamoto,1701386142
160,waters.xenmap,Stay hydrated,1701390089
169,water.xenmap,Stay Hydrated ,1701390694
239,2sats.xenmap,My Two Satoshis,1701394803
240,cheese.xenmap,This is Danks cheesy XenMap. Xen is the Brie. XONE is the Limburger.  ,1701395108
244,master.xenmap,God,1701395910
256,vega.xenmap,the truth hurts forever,1701397626
265,x.xenmap,-XEN-,1701401313
267,fucky.xenmap,FUCK OKX!!!,1701401640
271,1001.xenmap,HashHead Palindrome ,1701410300
272,999999999.xenmap,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1701413979
275,-1.xenmap,brr. it s cold in here. ,1701415302
276,9999222.xenmap,coXEN rules!,1701442973
277,novac.xenmap,vadi vadi ,1701445043
278,kenjac.xenmap,nego sta,1701445176
279,joj.xenmap,xenmaps,1701445317
280,wut.xenmap,means...,1701445512
281,xblock.xenmap,gothcha...bitch,1701446638
282,xuniland.xenmap,come in... dont be a pusy,1701447369
284,chocolate.xenmap,rich n creamy $$$,1701447899
285,LevinsArk.xenmap,Secure. Transparent. Decentralized. FPOC. ,1701450302
288,gwei.xenmap,ya gonna thank me later..,1701453356
289,statement.xenmap,ez katka,1701453548
290,hash.xenmap,da reality iz augmntd bato,1701454118
291,claroque.xenmap,claro no,1701455085
292,xgh0st.xenmap,Day1 Miner,1701455119
299,meowsic.xenmap,TM,1701455701
300,owl.xenmap,of Athena,1701455816
301,vadipare.xenmap,vadi vadi pare $$$,1701455986
302,mint.xenmap,Mint Now! ,1701456304
303,300n/s.xenmap,ljubi brat,1701456586
304,daaugmntd.xenmap,oiiii blin,1701456697
305,nocrying.xenmap,no wen wen wen..,1701456934
306,yacant.xenmap,not 4 sale,1701457199
307,canfvas.xenmap,Ill ride the wave where it takes me,1701457345
308,wow.xenmap,fr tho,1701457379
309,meow.xenmap,where is da cat,1701457468
312,xoogle.xenmap,let me xoogla dat 4 u,1701458542
314,xenium.xenmap,secured ,1701459056
315,fair.xenmap,FAFO,1701459202
316,97.xenmap,Xen=Bitcoin,1701459236
317,FAFO.xenmap,John Frost said FAFO madafaka... FAFO!,1701459308
318,98.xenmap,Xen=Bitcoin,1701459309
319,197.xenmap,Xen=Bitcoin,1701459381
320,open.xenmap,saucy,1701459461
321,no.xenmap,xyka,1701459520
323,297.xenmap,Xen=Bitcoin,1701459771
325,200.xenmap,Xen=Bitcoin,1701459813
326,300.xenmap,Xen=Bitcoin,1701459951
327,1000.xenmap,Xen=Bitcoin,1701459987
328,∞.xenmap,oops,1701460054
341,102.xenmap,"Search Xen in your heart,,,",1701460581
343,103.xenmap,"Search Xen in your heart,,,",1701460673
347,104.xenmap,"Search Xen in your heart,,,",1701460734
350,noone.xenmap,greetings noones,1701460757
353,105.xenmap,"Search Xen in your heart,,,",1701460777
354,106.xenmap,"Search Xen in your heart,,,",1701460819
358,107.xenmap,"Search Xen in your heart,,,",1701460868
364,108.xenmap,"Search Xen in your heart,,,",1701460922
369,109.xenmap,"Search Xen in your heart,,,",1701460972
403,Cleo.xenmap,STFU augmntd!,1701461604
406,JackLevin.xenmap,His presence is a tribute to the power of enlightenment and the grace of equanimity.,1701461751
426,bobo2.0.xenmap,{bulls screaming in da distance},1701462344
429,tiktak.xenmap,tic..tac..tic..tac..,1701463032
430,TexasRoad.xenmap,Texas Roadhouse... great stock.. gud price ,1701463181
431,xblk.xenmap,opa,1701463272
433,XENspree.xenmap,0.000000535$XEN01December2023,1701463939
435,XI.xenmap,XI=BTC,1701467683
436,XenX1.xenmap,First principles of crypto,1701468039
437,Xen01.xenmap,PERMISSIONLESS,1701468124
438,Xen02.xenmap,TRANSPARENT,1701468194
439,Xen03.xenmap,ON-CHAIN,1701468249
440,Xen04.xenmap,IMMUTABLE,1701468306
441,Xen05.xenmap,TRUSTLESS,1701468357
442,Xen06.xenmap,SELF-CUSTODIAL,1701468401
443,Xen07.xenmap,FREE MINT,1701468455
444,Xen08.xenmap,LOWEST BARRIERS TO ENTRY,1701468509
445,Xen09.xenmap,ACCELERATES CRYPTO ADOPTION,1701468569
446,Xen10.xenmap,EASY TO PARTICIPATE,1701468626
447,Xen11.xenmap,DECENTRALIZED,1701468681
448,Xen12.xenmap,TRANSACTIONAL FRIENDLY,1701468734
449,Xen13.xenmap,A MINIMAL AMOUNT OF CODE,1701468794
450,Xen14.xenmap,VIRAL TOKENOMICS,1701468855
451,wagmi.xenmap,XEN as fuck,1701468859
452,Xen15.xenmap,DELAYED GRATIFICATION,1701468903
453,Xen16.xenmap,YIELD OPTIMIZATION,1701468973
454,Blyat1.xenmap,Player 1,1701470597
487,Slon orig.xenmap,coXEN,1701471518
